search_term,word2vec_result
명동,"[('맛집', 0.3813), ('추천', 0.3255), ('내산', 0.3088), ('서울', 0.3039), ('맞', 0.2404), ('오제', 0.2365), ('강원', 0.2347), ('가능', 0.2346), ('비', 0.2295), ('터틀', 0.2237), ('소개팅', 0.2234), ('지하', 0.2158), ('명동호', 0.2115), ('리필', 0.2087), ('돈', 0.2082), ('하수오', 0.2074), ('비밀', 0.2071), ('줄서', 0.2069), ('점', 0.2063), ('분위기', 0.2055), ('롯데', 0.2052), ('전골', 0.1998), ('있', 0.1979), ('을지로', 0.1957), ('모임', 0.1949), ('예쁘', 0.1934), ('오가와', 0.1915), ('힙', 0.1911), ('가족', 0.19), ('탐방기', 0.1899), ('강동', 0.1895), ('평일', 0.1883), ('기다리', 0.183), ('국밥', 0.1826), ('디저트', 0.182), ('내장', 0.1815), ('찾', 0.1815), ('맛있', 0.1801), ('후기', 0.18), ('직접', 0.179), ('회현', 0.1789), ('이유', 0.1787), ('흐트', 0.1785), ('야', 0.1785), ('강력', 0.178), ('숨', 0.1774), ('좋', 0.1766), ('사당', 0.1756), ('적합', 0.1752), ('종로', 0.1722)]"
홍대,"[('추천', 0.303), ('상수역', 0.2894), ('이색', 0.2686), ('벚꽃', 0.2636), ('곳', 0.2617), ('합정역', 0.2514), ('식사', 0.2489), ('멜라', 0.2362), ('뷰티', 0.2333), ('계절', 0.2294), ('잼', 0.2282), ('술', 0.2279), ('디퍼', 0.2278), ('집', 0.2247), ('좋', 0.2243), ('맛집', 0.2242), ('머스', 0.2241), ('시야', 0.2223), ('배터리', 0.2188), ('야닝', 0.2172), ('망원역', 0.2166), ('또', 0.2165), ('수상한', 0.2158), ('컴', 0.2157), ('테이블', 0.2149), ('공', 0.2144), ('샐러드', 0.2132), ('백장', 0.2121), ('홍대입구역', 0.2101), ('한월', 0.2095), ('교동', 0.2089), ('오퍼', 0.2086), ('감성', 0.2084), ('플', 0.2072), ('심리', 0.2069), ('가', 0.2063), ('서울', 0.2042), ('밥맛', 0.2037), ('즐기', 0.2016), ('링', 0.2005), ('뜻밖에', 0.198), ('림', 0.1969), ('합정', 0.1952), ('버건', 0.1937), ('요리', 0.1931), ('홍콩식', 0.1909), ('상수', 0.19), ('사운드', 0.1893), ('히메', 0.1868), ('부산', 0.186)]"
강남역,"[('블루리본', 0.2968), ('찾', 0.2907), ('역삼역', 0.2865), ('뷰', 0.272), ('추천', 0.2558), ('헬린', 0.2555), ('팔순', 0.2523), ('생일', 0.2435), ('동', 0.2423), ('쁠', 0.2422), ('온화', 0.2416), ('주악', 0.24), ('비', 0.2393), ('아실라', 0.2355), ('참고', 0.2307), ('퓨전', 0.2294), ('미', 0.2292), ('숙성', 0.2275), ('데이트', 0.227), ('밍', 0.2198), ('썸녀', 0.2188), ('티라미수', 0.2165), ('감성', 0.2159), ('존', 0.2125), ('신복', 0.2091), ('갈만', 0.209), ('플', 0.2083), ('수육', 0.2081), ('공통점', 0.2077), ('굿', 0.2063), ('여포', 0.2059), ('자리', 0.2051), ('성돈', 0.2049), ('수플레', 0.204), ('송년회', 0.2034), ('단체', 0.2016), ('노트북', 0.2008), ('대형', 0.1997), ('근처', 0.1995), ('모임', 0.1978), ('강남', 0.1919), ('주차', 0.1911), ('상회', 0.1894), ('스템', 0.189), ('역삼동', 0.1881), ('청첩장', 0.1869), ('투', 0.1831), ('인정', 0.1828), ('이센', 0.1817), ('밝', 0.1816)]"
이태원,"[('서울', 0.3684), ('이태원역', 0.3468), ('좋', 0.2969), ('추천', 0.2961), ('차', 0.2778), ('데이트', 0.2724), ('끼', 0.2705), ('야외', 0.2625), ('테라스', 0.2542), ('풀무질', 0.2486), ('내산', 0.2453), ('양식', 0.2384), ('이색', 0.233), ('조용', 0.2235), ('애일', 0.2234), ('진행', 0.2223), ('캡', 0.2164), ('경리', 0.2153), ('후기', 0.2141), ('곳', 0.2134), ('여의동', 0.213), ('랭', 0.2044), ('카리', 0.2007), ('본', 0.1989), ('돈', 0.1983), ('단', 0.1979), ('보내', 0.1962), ('칠', 0.1935), ('피맥', 0.1917), ('생활', 0.19), ('미고', 0.1851), ('종로', 0.1836), ('외', 0.1831), ('힐링', 0.1828), ('실내', 0.1826), ('무니', 0.182), ('미금', 0.1775), ('촌닭', 0.1758), ('천', 0.1746), ('야장', 0.1741), ('헤미', 0.172), ('디저트', 0.1716), ('놀', 0.1706), ('술상', 0.1702), ('다이나믹', 0.17), ('코스', 0.1693), ('재현', 0.1688), ('모르', 0.1688), ('간혹', 0.1676), ('스태프', 0.1675)]"
신촌,"[('신촌역', 0.353), ('퀄리티', 0.2747), ('추천', 0.2686), ('이', 0.2566), ('현대', 0.2533), ('맛집', 0.2434), ('후기', 0.2363), ('원', 0.2351), ('부엉이', 0.2339), ('근처', 0.2304), ('포항', 0.2277), ('릭', 0.2261), ('마에스트로', 0.2235), ('마스터키', 0.2176), ('유부', 0.2175), ('미나리', 0.2165), ('서울', 0.2086), ('퍼플', 0.2085), ('이동', 0.2072), ('스키야키', 0.2034), ('백화점', 0.2014), ('돈가스', 0.2013), ('스', 0.1997), ('마스터', 0.1975), ('분위기', 0.1974), ('포덤', 0.1967), ('수혈', 0.1954), ('탐방', 0.1933), ('돈', 0.1927), ('랩', 0.1922), ('세트', 0.1912), ('서대문구', 0.1882), ('당나발', 0.1882), ('족발', 0.1879), ('프라임', 0.1878), ('도쿠', 0.1869), ('맛있', 0.1861), ('연희', 0.1837), ('저녁', 0.1835), ('화로구이', 0.1817), ('고', 0.1817), ('조기', 0.1811), ('계란', 0.1803), ('대관', 0.18), ('지하', 0.18), ('테니스', 0.1799), ('찾', 0.1793), ('식사', 0.1793), ('마마', 0.1784), ('쿠', 0.1763)]"
여의도,"[('카세', 0.3593), ('추천', 0.3553), ('모임', 0.3384), ('한정식', 0.3324), ('장소', 0.3275), ('근처', 0.3187), ('서울', 0.3175), ('데이트', 0.3161), ('회식', 0.2771), ('맛집', 0.2703), ('동해', 0.2694), ('식당', 0.2681), ('점심', 0.2667), ('고청', 0.2661), ('도역', 0.2632), ('우마', 0.2598), ('여의도역', 0.2568), ('여운관', 0.2563), ('한우', 0.2555), ('담', 0.255), ('오마', 0.2475), ('고급', 0.2471), ('좋', 0.244), ('요리', 0.2432), ('분위기', 0.2423), ('콜', 0.2409), ('런', 0.2391), ('이닝', 0.2353), ('저녁', 0.2337), ('비', 0.2336), ('룸', 0.2283), ('코스', 0.2263), ('동반', 0.2253), ('진가', 0.2219), ('집', 0.2219), ('있', 0.2216), ('암동', 0.2184), ('한식', 0.2184), ('고기', 0.2181), ('퀄리티', 0.217), ('가성', 0.2148), ('채끝', 0.2129), ('소고기', 0.2111), ('스팅', 0.2097), ('노조미', 0.2086), ('상견례', 0.2076), ('테이', 0.2068), ('점', 0.2061), ('포', 0.2034), ('경산', 0.2013)]"
북촌,"[('서울', 0.3842), ('한옥', 0.3714), ('명소', 0.3265), ('코스', 0.3223), ('목음', 0.3101), ('마을', 0.2857), ('분위기', 0.2823), ('추천', 0.2775), ('전통찻집', 0.2689), ('픽사', 0.2661), ('차', 0.2652), ('종로', 0.2626), ('안국역', 0.2564), ('지하철', 0.253), ('볼거리', 0.2497), ('국동', 0.2463), ('청요', 0.2455), ('도토리', 0.2452), ('청청', 0.2451), ('우이동', 0.2424), ('정', 0.2371), ('보', 0.2366), ('전망', 0.2361), ('맛집', 0.2339), ('모녀', 0.2311), ('수제', 0.2296), ('데이트', 0.2294), ('길', 0.2281), ('맛있', 0.2271), ('요가', 0.2266), ('삼청', 0.2257), ('맥', 0.223), ('좋', 0.2199), ('안', 0.2186), ('스모', 0.2155), ('최고', 0.2146), ('수프', 0.2121), ('성공', 0.2108), ('맥주', 0.2103), ('많', 0.2097), ('운', 0.2093), ('익선', 0.2088), ('장미', 0.2081), ('예약', 0.208), ('탐방', 0.2073), ('닉스', 0.2064), ('백미', 0.2051), ('몽중', 0.2032), ('최혜지', 0.2011), ('외', 0.1984)]"
성수,"[('성수동', 0.3312), ('추천', 0.3242), ('성', 0.2884), ('플', 0.285), ('서울', 0.2648), ('모음', 0.25), ('트', 0.2496), ('성수역', 0.2436), ('침대', 0.2363), ('아지트', 0.2343), ('탑', 0.2341), ('핫', 0.228), ('신나', 0.2228), ('돈페이', 0.2213), ('같', 0.22), ('주말', 0.219), ('방문', 0.2174), ('차조', 0.2165), ('웨이팅', 0.2134), ('스', 0.2067), ('축하', 0.205), ('향소', 0.2022), ('수동', 0.2021), ('전부', 0.2011), ('힙', 0.1983), ('즐기', 0.1959), ('극', 0.1935), ('춥', 0.1933), ('퓌', 0.1931), ('드립', 0.1918), ('미야키', 0.1917), ('점심', 0.1908), ('좋', 0.1901), ('갤럭시', 0.1895), ('노가리', 0.1878), ('득템', 0.1875), ('충족', 0.1856), ('칵테일', 0.182), ('민수', 0.1814), ('브루', 0.18), ('국산', 0.1787), ('브롤', 0.1776), ('루프', 0.1772), ('리비트', 0.1765), ('근처', 0.1764), ('본품', 0.1759), ('브런치', 0.1756), ('리스트', 0.1755), ('오', 0.1749), ('뚝섬역', 0.1748)]"
청담,"[('쌀국수', 0.2785), ('드디어', 0.2759), ('마카롱', 0.2682), ('송', 0.2355), ('해장술', 0.2343), ('끌레어', 0.2317), ('갈비찜', 0.2213), ('알아보', 0.2194), ('덕이동', 0.2192), ('월남', 0.2182), ('픽스', 0.2131), ('망년회', 0.2125), ('이은재', 0.2106), ('쌀쌀', 0.2096), ('오리', 0.2091), ('대비', 0.2082), ('악평', 0.2081), ('라운', 0.2077), ('모음', 0.2063), ('주문', 0.2021), ('로데오', 0.2006), ('저격', 0.1996), ('프랑스', 0.1986), ('청담동', 0.1967), ('차이점', 0.196), ('후기', 0.1955), ('꽤', 0.1952), ('여심', 0.1934), ('안내', 0.1913), ('수원', 0.1904), ('디테일', 0.1904), ('다르', 0.1898), ('향기', 0.1894), ('봉피', 0.188), ('지바', 0.1805), ('꽃집', 0.1791), ('마지', 0.1789), ('결혼기념일', 0.1788), ('신상', 0.1757), ('드리', 0.1751), ('가점', 0.174), ('청담역', 0.1714), ('점문', 0.1711), ('양주', 0.1684), ('실점', 0.1668), ('추천', 0.1663), ('도화동', 0.1659), ('짬뽕', 0.1638), ('유명', 0.1627), ('캬', 0.1619)]"
연남동,"[('추천', 0.3218), ('맛집', 0.3217), ('집', 0.2687), ('곳', 0.2511), ('연남', 0.2507), ('탑', 0.2473), ('하루', 0.2373), ('정보', 0.2352), ('프레첼', 0.2315), ('홍대', 0.2265), ('뮬', 0.2243), ('집사', 0.2178), ('돌', 0.2176), ('소개팅', 0.2135), ('후기', 0.2036), ('조용', 0.1874), ('분위기', 0.1866), ('화담', 0.1866), ('안주', 0.186), ('야장', 0.1856), ('힙', 0.1846), ('핫', 0.182), ('베', 0.179), ('데스', 0.1776), ('떼', 0.1775), ('맛있', 0.1774), ('오르트', 0.1771), ('라운지', 0.1762), ('루프', 0.1746), ('대박', 0.1743), ('주막', 0.1741), ('한식집', 0.1733), ('소카', 0.1731), ('데이트', 0.1704), ('멘탈', 0.168), ('크', 0.1663), ('미드', 0.165), ('크랩', 0.1645), ('휴', 0.1644), ('맛', 0.1642), ('비인정', 0.164), ('찹쌀떡', 0.1639), ('양집', 0.162), ('내산', 0.1607), ('장소', 0.1582), ('틀', 0.158), ('비드', 0.1558), ('주원', 0.1548), ('조용히', 0.1535), ('이탈리안', 0.1516)]"
